Tool,Dataset,Total_Reads,Assigned_Reads,Decoy_Assigned,Assignment_Rate,False_Positive_Rate,Precision
RandomBarcodes,21k,657529,397108,542,60.39399022704702,0.08242982438797376,99.91757017561203
RandomBarcodes,42k,526931,263985,933,50.098589758431366,0.1770630310230372,99.82293696897696
RandomBarcodes,85k,420338,26174,2260,6.226893595154376,0.5376625477591843,99.46233745224082
QUIK,21k,657529,450460,0,68.508004970123,0.0,100.0
QUIK,42k,526931,301062,0,57.134994904456185,0.0,100.0
QUIK,85k,420338,79381,68,18.885040134368055,0.016177457189214393,99.98382254281078
Columba,21k,658187,413121,1849,62.766508606216775,0.280923202676443,99.71907679732355
Columba,42k,527259,274148,198,51.994939868262094,0.037552701803098665,99.9624472981969
Columba,85k,420637,59812,801,14.21938631171295,0.1904254737457713,99.80957452625422
